Age,Attrition,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,EmployeeSalary,EmployeeRevenue,PercentSalaryHike,PerformanceRating,StandardHours,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Age<=25,Age>=55,ROI
41,Yes,Sales,1,Undergraduate,Life Sciences,1,Neutral,Female,Junior,Sales Executive,Very Satisfied,Single,5993,19479,11,3,40,0,1,6,False,False,225.0292007341899
49,No,Research & Development,8,High School,Life Sciences,2,Satisfied,Male,Junior,Research Scientist,Neutral,Married,5130,24907,23,4,40,3,3,10,False,False,385.5165692007797
37,Yes,Research & Development,2,Undergraduate,Other,4,Very Satisfied,Male,Entry-level,Laboratory Technician,Satisfied,Single,2090,2396,15,3,40,3,3,0,False,False,14.641148325358852
33,No,Research & Development,3,Professional Certification,Life Sciences,5,Very Satisfied,Female,Entry-level,Research Scientist,Satisfied,Married,2909,23159,11,3,40,3,3,8,False,False,696.1155036094877
27,No,Research & Development,2,High School,Medical,7,Dissatisfied,Male,Entry-level,Laboratory Technician,Neutral,Married,3468,16632,12,3,40,3,3,2,False,False,379.5847750865052
32,No,Research & Development,2,Undergraduate,Life Sciences,8,Very Satisfied,Male,Entry-level,Laboratory Technician,Very Satisfied,Single,3068,11864,13,3,40,2,2,7,False,False,286.7014341590613
59,No,Research & Development,3,Postgraduate,Medical,10,Satisfied,Female,Entry-level,Laboratory Technician,Dissatisfied,Married,2670,9964,20,4,40,3,2,1,False,True,273.1835205992509
30,No,Research & Development,24,High School,Life Sciences,11,Very Satisfied,Male,Entry-level,Laboratory Technician,Satisfied,Divorced,2693,13335,22,4,40,2,3,1,False,False,395.1726698848868
38,No,Research & Development,23,Postgraduate,Life Sciences,12,Very Satisfied,Male,Mid-level,Manufacturing Director,Satisfied,Single,9526,8787,21,4,40,2,3,9,False,False,-7.757715725383162
36,No,Research & Development,27,Postgraduate,Medical,13,Satisfied,Male,Junior,Healthcare Representative,Satisfied,Married,5237,16577,13,3,40,3,2,7,False,False,216.5361848386481
35,No,Research & Development,16,Postgraduate,Medical,14,Dissatisfied,Male,Entry-level,Laboratory Technician,Neutral,Married,2426,16479,13,3,40,5,3,5,False,False,579.2662819455894
29,No,Research & Development,15,Undergraduate,Life Sciences,15,Very Satisfied,Female,Junior,Laboratory Technician,Satisfied,Single,4193,12682,12,3,40,3,3,9,False,False,202.45647507751013
31,No,Research & Development,26,High School,Life Sciences,16,Dissatisfied,Male,Entry-level,Research Scientist,Satisfied,Divorced,2911,15170,17,3,40,1,2,5,False,False,421.1267605633803
34,No,Research & Development,19,Undergraduate,Medical,18,Neutral,Male,Entry-level,Laboratory Technician,Very Satisfied,Divorced,2661,8758,11,3,40,2,3,2,False,False,229.12438932732059
28,Yes,Research & Development,24,Postgraduate,Life Sciences,19,Satisfied,Male,Entry-level,Laboratory Technician,Satisfied,Single,2028,12947,14,3,40,4,3,4,False,False,538.4122287968441
29,No,Research & Development,21,Professional Certification,Life Sciences,20,Neutral,Female,Mid-level,Manufacturing Director,Dissatisfied,Divorced,9980,10195,11,3,40,1,3,10,False,False,2.154308617234469
32,No,Research & Development,5,Undergraduate,Life Sciences,21,Dissatisfied,Male,Entry-level,Research Scientist,Neutral,Divorced,3298,15053,12,3,40,5,2,6,False,False,356.42813826561553
22,No,Research & Development,16,Undergraduate,Medical,22,Very Satisfied,Male,Entry-level,Laboratory Technician,Very Satisfied,Divorced,2935,7324,13,3,40,2,2,1,True,False,149.54003407155025
53,No,Sales,2,Professional Certification,Life Sciences,23,Dissatisfied,Female,Senior,Manager,Very Satisfied,Married,15427,22021,16,3,40,3,3,25,False,False,42.74324236727815
38,No,Research & Development,2,Postgraduate,Life Sciences,24,Very Satisfied,Male,Entry-level,Research Scientist,Very Satisfied,Single,3944,4306,11,3,40,3,3,3,False,False,9.178498985801218
24,No,Research & Development,11,Undergraduate,Other,26,Dissatisfied,Female,Junior,Manufacturing Director,Satisfied,Divorced,4011,8232,18,3,40,5,2,4,True,False,105.23560209424083
36,Yes,Sales,9,Professional Certification,Life Sciences,27,Satisfied,Male,Entry-level,Sales Representative,Dissatisfied,Single,3407,6986,23,4,40,4,3,5,False,False,105.0484297035515
34,No,Research & Development,7,Professional Certification,Life Sciences,28,Dissatisfied,Female,Mid-level,Research Director,Neutral,Single,11994,21293,11,3,40,4,3,12,False,False,77.53043188260797
21,No,Research & Development,15,Undergraduate,Life Sciences,30,Satisfied,Male,Entry-level,Research Scientist,Very Satisfied,Single,1232,19281,14,3,40,6,3,0,True,False,1465.0162337662337
34,Yes,Research & Development,6,High School,Medical,31,Neutral,Male,Entry-level,Research Scientist,Dissatisfied,Single,2960,17102,11,3,40,2,3,4,False,False,477.77027027027026
53,No,Research & Development,5,Postgraduate,Other,32,Satisfied,Female,Executive,Manager,Satisfied,Divorced,19094,10735,11,3,40,3,2,14,False,False,-43.77815020425265
32,Yes,Research & Development,16,High School,Life Sciences,33,Neutral,Female,Entry-level,Research Scientist,Dissatisfied,Single,3919,4681,22,4,40,5,3,10,False,False,19.443735646848687
42,No,Sales,8,Professional Certification,Marketing,35,Satisfied,Male,Junior,Sales Executive,Neutral,Married,6825,21173,11,3,40,2,3,9,False,False,210.22710622710622
44,No,Research & Development,7,Professional Certification,Medical,36,Dissatisfied,Female,Mid-level,Healthcare Representative,Very Satisfied,Married,10248,2094,14,3,40,4,3,22,False,False,-79.56674473067916
46,No,Sales,2,Professional Certification,Marketing,38,Neutral,Female,Executive,Manager,Dissatisfied,Single,18947,22822,12,3,40,2,2,2,False,False,20.451786562516496
33,No,Research & Development,2,Postgraduate,Medical,39,Satisfied,Male,Entry-level,Laboratory Technician,Very Satisfied,Single,2496,6670,11,3,40,3,3,1,False,False,167.2275641025641
44,No,Research & Development,10,Professional Certification,Other,40,Very Satisfied,Male,Junior,Healthcare Representative,Very Satisfied,Married,6465,19121,13,3,40,5,4,4,False,False,195.7617942768755
30,No,Research & Development,9,Undergraduate,Medical,41,Very Satisfied,Male,Entry-level,Laboratory Technician,Satisfied,Single,2206,16117,13,3,40,5,3,10,False,False,630.5983680870353
39,Yes,Sales,5,Postgraduate,Technical Degree,42,Very Satisfied,Male,Junior,Sales Representative,Very Satisfied,Married,2086,3335,14,3,40,6,4,1,False,False,59.87535953978907
24,Yes,Research & Development,1,Postgraduate,Medical,45,Neutral,Male,Entry-level,Research Scientist,Very Satisfied,Married,2293,3020,16,3,40,2,2,2,True,False,31.70518970780637
43,No,Research & Development,2,Undergraduate,Medical,46,Very Satisfied,Female,Entry-level,Research Scientist,Satisfied,Divorced,2645,21923,12,3,40,3,2,5,False,False,728.8468809073725
50,Yes,Sales,3,Undergraduate,Marketing,47,Dissatisfied,Male,Entry-level,Sales Representative,Satisfied,Married,2683,3810,14,3,40,2,3,3,False,False,42.005218039508016
35,No,Sales,2,Postgraduate,Marketing,49,Very Satisfied,Female,Entry-level,Sales Representative,Very Satisfied,Married,2014,9687,13,3,40,3,3,2,False,False,380.98311817279045
36,No,Research & Development,5,Professional Certification,Life Sciences,51,Neutral,Female,Entry-level,Research Scientist,Dissatisfied,Married,3419,13072,14,3,40,3,4,1,False,False,282.33401579409184
33,No,Sales,1,Postgraduate,Life Sciences,52,Satisfied,Female,Junior,Sales Executive,Dissatisfied,Married,5376,3193,19,3,40,3,3,5,False,False,-40.60639880952381
35,No,Research & Development,4,Undergraduate,Other,53,Satisfied,Male,Entry-level,Laboratory Technician,Very Satisfied,Divorced,1951,10910,12,3,40,3,3,1,False,False,459.2004100461302
27,No,Research & Development,2,Professional Certification,Life Sciences,54,Very Satisfied,Female,Entry-level,Laboratory Technician,Dissatisfied,Divorced,2341,19715,13,3,40,6,3,1,False,False,742.1614694574968
